   batter, games, inn, PA, AB, R, H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,     RC,     XR
     AmyW,     2,   5,  3,  3, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,  0.375,  0.320
   Audrey,     1,   1,  1,  1, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000, -0.100, -0.090
   Bashar,     3,   7,  4,  4, 0, 2,   0,   0,  0,   1,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000, 0.000,  0.992,  0.820
    Bryan,     1,   0,  0,  0, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,  0.000,  0.000
    Casey,     1,   0,  0,  0, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,  0.000,  0.000
    Cathy,     3,  17,  6,  4, 0, 1,   0,   0,  0,   0,  2,  0,  0,   0, 0.250, 0.500, 0.250, 0.750, 0.500,  0.949,  0.910
    Chris,     3,  15,  6,  6, 0, 2,   0,   0,  0,   1,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,  0.750,  0.640
     Cole,     7,  24, 12, 11, 5, 6,   1,   0,  3,   6,  1,  0,  0,   0, 0.545, 0.583, 1.455, 2.038, 1.000,  6.245,  5.930
    Donna,     7,  31, 13, 12, 2, 3,   0,   0,  0,   0,  1,  0,  0,   0, 0.250, 0.308, 0.250, 0.558, 0.083,  1.136,  1.030
Elizabeth,     4,  20,  6,  6, 0, 0,   0,   0,  0,   0,  0,  2,  0,   1, 0.000, 0.000, 0.000, 0.000, 0.000, -0.953, -0.926
   FrankF,     9,  29, 12, 11, 3, 3,   1,   0,  0,   1,  1,  1,  0,   0, 0.273, 0.333, 0.364, 0.697, 0.182,  1.406,  1.332
   FrankH,     5,  13,  6,  6, 1, 4,   0,   0,  0,   1,  0,  0,  0,   0, 0.667, 0.667, 0.667, 1.333, 0.000,  2.267,  1.820
  Jeffrey,     7,  27, 11, 11, 0, 5,   0,   0,  0,   2,  0,  1,  0,   0, 0.455, 0.455, 0.455, 0.909, 0.000,  2.338,  1.952
   Jeremy,     6,  13,  5,  5, 1, 2,   0,   0,  0,   0,  0,  0,  0,   0, 0.400, 0.400, 0.400, 0.800, 0.000,  0.867,  0.730
    Kylie,     5,  15,  6,  6, 0, 1,   0,   0,  0,   2,  0,  1,  0,   0, 0.167, 0.167, 0.167, 0.333, 0.000,  0.043,  0.042
    Leena,     8,  28, 13, 11, 1, 4,   0,   0,  0,   2,  2,  0,  0,   0, 0.364, 0.462, 0.364, 0.825, 0.182,  2.315,  2.050
    Mario,     3,  17,  9,  9, 0, 5,   0,   0,  0,   2,  0,  0,  0,   0, 0.556, 0.556, 0.556, 1.111, 0.000,  2.614,  2.140
 Meridith,     1,   5,  1,  1, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000, -0.100, -0.090
   Nicole,     5,  27, 15, 15, 1, 5,   0,   0,  0,   0,  0,  1,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,  1.863,  1.592
     Rafe,     3,   6,  3,  3, 0, 1,   0,   0,  0,   0,  0,  0,  0,   0, 0.333, 0.333, 0.333, 0.667, 0.000,  0.375,  0.320
    Sarah,     3,  17,  7,  7, 1, 2,   0,   0,  0,   0,  0,  1,  0,   0, 0.286, 0.286, 0.286, 0.571, 0.000,  0.626,  0.542
     Seth,     9,  33, 13, 13, 4, 8,   1,   1,  0,   1,  0,  0,  0,   0, 0.615, 0.615, 0.846, 1.462, 0.231,  5.206,  4.310
 Svetlana,     3,   5,  2,  2, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000, -0.200, -0.180
  Tatsuki,     2,   8,  2,  2, 0, 2,   1,   0,  0,   2,  0,  0,  0,   0, 1.000, 1.000, 1.500, 2.500, 0.500,  1.530,  1.220
     Will,     9,  37, 16, 15, 4, 7,   2,   0,  0,   1,  1,  0,  0,   0, 0.467, 0.500, 0.600, 1.100, 0.200,  4.062,  3.560
   Zu-Wen,     1,   2,  1,  1, 0, 0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000, -0.100, -0.090
