  batter, games, inn, PA, AB,  R,  H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,     RC,     XR
   Alice,     3,  17, 10, 10,  1,  0,   0,   0,  0,   3,  0,  2,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000, -1.021, -0.916
Brooklyn,     5,  22, 13, 12,  2,  2,   0,   0,  0,   0,  1,  5,  0,   0, 0.167, 0.231, 0.167, 0.397, 0.083,  0.384,  0.400
 Cassidy,     3,  11,  8,  7,  1,  2,   0,   0,  0,   1,  1,  0,  0,   0, 0.286, 0.375, 0.286, 0.661, 0.143,  0.983,  0.890
    Cole,     7,  44, 28, 25, 17, 20,   4,   3,  8,  26,  3,  1,  0,   2, 0.800, 0.821, 2.160, 2.981, 1.480, 22.440, 19.842
  Hannah,     6,  34, 20, 19,  2,  3,   0,   0,  0,   5,  1,  3,  0,   0, 0.158, 0.200, 0.158, 0.358, 0.053,  0.357,  0.376
 Jeffrey,     6,  32, 22, 21,  8, 14,   4,   1,  3,  12,  1,  1,  0,   0, 0.667, 0.682, 1.381, 2.063, 0.762, 12.378, 10.942
   Kylie,     1,   5,  2,  2,  1,  1,   0,   0,  0,   0,  0,  1,  0,   0, 0.500, 0.500, 0.500, 1.000, 0.000,  0.483,  0.402
   Leena,     2,  11,  6,  6,  1,  1,   0,   0,  0,   1,  0,  0,  0,   0, 0.167, 0.167, 0.167, 0.333, 0.000,  0.054,  0.050
    Lisa,     1,   7,  4,  4,  0,  0,   0,   0,  0,   0,  0,  2,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000, -0.421, -0.376
    Lucy,     5,  18, 12,  9,  2,  0,   0,   0,  0,   1,  3,  1,  0,   0, 0.000, 0.250, 0.000, 0.250, 0.333,  0.044,  0.202
   MarkL,     4,  19, 11, 11,  3,  6,   1,   0,  0,   2,  0,  2,  0,   0, 0.545, 0.545, 0.636, 1.182, 0.091,  3.268,  2.754
 Michael,     6,  36, 25, 24, 13, 18,   4,   1,  6,  21,  1,  0,  0,   0, 0.750, 0.760, 1.750, 2.510, 1.042, 17.992, 15.860
   Molly,     7,  44, 30, 27, 13, 15,   0,   0,  0,   2,  2,  0,  1,   0, 0.556, 0.567, 0.556, 1.122, 0.074,  8.583,  7.470
    Nick,     2,  10,  6,  6,  1,  2,   0,   0,  1,   1,  0,  1,  0,   0, 0.333, 0.333, 0.833, 1.167, 0.500,  1.529,  1.572
 Patrick,     6,  29, 18, 17, 10, 12,   1,   0,  4,  12,  1,  0,  0,   0, 0.706, 0.722, 1.471, 2.193, 0.824, 11.128,  9.870
    Ryan,     1,   3,  2,  2,  1,  1,   0,   0,  0,   0,  0,  0,  0,   0, 0.500, 0.500, 0.500, 1.000, 0.000,  0.496,  0.410
 SarahFM,     3,  18, 11, 10,  4,  4,   0,   0,  0,   0,  1,  1,  0,   0, 0.400, 0.455, 0.400, 0.855, 0.100,  2.073,  1.792
    Seth,     4,  14,  8,  6,  5,  6,   2,   0,  0,   2,  2,  0,  0,   0, 1.000, 1.000, 1.333, 2.333, 0.667,  5.063,  4.120
 Whitney,     3,  19, 11,  5,  2,  2,   0,   0,  0,   1,  6,  0,  0,   0, 0.400, 0.727, 0.400, 1.127, 1.200,  2.953,  2.770
    Will,     7,  28, 15, 14,  5,  7,   3,   1,  0,   2,  1,  1,  0,   0, 0.500, 0.533, 0.857, 1.390, 0.429,  4.985,  4.402
