# vim: ft=
# :3,$Tabular /,\zs /l0
game, inning, batter,   runners, outs, outcome
1,    1,      Cole,     ---,     0,    3B
1,    1,      Sarah,    --3,     0,    W
1,    1,      Seth,     1-3,     0,    FC.3-H;1X2
1,    1,      Michelle, 1--,     1,    4-3;1-2
1,    1,      Tatsuki,  -2-,     2,    1B;2-3
1,    1,      Nicole,   1-3,     2,    1B.3-H;1X3
1,    2,      FrankF,   ---,     0,    HR
1,    2,      Cathy,    ---,     0,    F1
1,    2,      Will,     ---,     1,    2B
1,    2,      Kelly,    -2-,     1,    Kf
1,    2,      Jeffrey,  -2-,     2,    1B.2-H
1,    2,      Amy,      1--,     2,    U1
1,    3,      Cole,     ---,     0,    F5
1,    3,      Sarah,    ---,     1,    2B
1,    3,      Seth,     1--,     1,    W.1-2
1,    3,      Michelle, 12-,     1,    1B.2-3;1-2
1,    3,      Tatsuki,  123,     1,    1B.3-H;2-H;1-2
1,    3,      Nicole,   12-,     1,    Ks
1,    3,      FrankF,   12-,     2,    L4
1,    4,      Cathy,    ---,     0,    Kf
1,    4,      Will,     ---,     1,    1B
1,    4,      Kelly,    1--,     1,    W.1-2
1,    4,      Jeffrey,  12-,     1,    1B.2-H;1-2
1,    4,      Amy,      12-,     1,    Kf
1,    4,      Cole,     12-,     2,    1B.2-3;1-2
1,    4,      Sarah,    12-,     2,    U5
1,    5,      Seth,     ---,     0,    1B
1,    5,      Michelle, 1--,     0,    1-3.1-2
1,    5,      Tatsuki,  -2-,     1,    1B.2-3
1,    5,      Nicole,   1-3,     1,    1B.3-H;1-2
1,    5,      FrankF,   12-,     1,    1B.2-3;1-2
1,    5,      Cathy,    123,     1,    Ks
1,    5,      Will,     123,     2,    L6
2,    1,      Cole,     ---,     0,    HR
2,    1,      Sarah,    ---,     0,    Kf
2,    1,      Seth,     ---,     1,    1B
2,    1,      Michelle, 1--,     1,    FC(6-4);1X2
2,    1,      FrankF,   1--,     2,    1B.1-2
2,    1,      Nicole,   12-,     2,    F5
2,    2,      Tatsuki,  ---,     0,    1B
2,    2,      Cathy,    1--,     0,    Kf
2,    2,      Will,     1--,     1,    1B.1-3;B-2
2,    2,      Kylie,    -23,     1,    1-3.3-H;2-3
2,    2,      Jeffrey,  -23,     2,    1B.3-H
2,    2,      Amy,      1-3,     2,    1-3
2,    3,      Cole,     ---,     0,    F7
2,    3,      Sarah,    ---,     1,    F5
2,    3,      Seth,     ---,     2,    1B
2,    3,      Michelle, 1--,     2,    6-3
2,    4,      FrankF,   ---,     0,    F7
2,    4,      Nicole,   ---,     1,    F1
2,    4,      Tatsuki,  ---,     2,    1B
2,    4,      Cathy,    1--,     2,    1B.1-2
2,    4,      Will,     12-,     2,    6-3
3,    1,      FrankF,   ---,     0,    F7
3,    1,      Sarah,    ---,     1,    Kf
3,    1,      Seth,     ---,     2,    2B
3,    1,      Michelle, -2-,     2,    1B.2-H
3,    1,      Jeffrey,  1--,     2,    6-3
3,    2,      Kylie,    ---,     0,    4-3
3,    2,      Will,     ---,     1,    L1
3,    2,      Amy,      ---,     2,    1-3
3,    3,      Tatsuki,  ---,     0,    ?-3
3,    3,      FrankF,   ---,     1,    1B
3,    3,      Sarah,    1--,     1,    F5
3,    3,      Seth,     1--,     2,    F7
3,    4,      Michelle, ---,     0,    6-3
3,    4,      Jeffrey,  ---,     1,    W
3,    4,      Kelly,    1--,     1,    W+.1-2
3,    4,      Will,     12-,     1,    1B.2-3;1-2
3,    4,      Amy,      123,     1,    FC(?-2).3XH;2-3;1-2
3,    4,      Jiang,    123,     2,    F1
3,    5,      Tina,     ---,     0,    Ks
3,    5,      FrankF,   ---,     1,    1B
3,    5,      Sarah,    1--,     1,    Ks
3,    5,      Seth,     1--,     2,    1B.1-3
3,    5,      Michelle, 1-3,     2,    F6
